date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:48:27	332/332	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Feb%202018%2015:18:27%20GMT	http://mattfarley.ca/robots.txt		(from )
20:48:28	17478/17478	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202017%2020:54:37%20GMT	http://mattfarley.ca/	/home/aditya/websites/aditya/mattfarley.ca/index.html	(from )
20:48:28	435/435	---M--	200	added ('OK')	image/png	etag:%222355-1b3-55ad3b9241fe8%22	http://mattfarley.ca/images/favicon/favicon-32.png	/home/aditya/websites/aditya/mattfarley.ca/images/favicon/favicon-32.png	(from http://mattfarley.ca/)
20:48:29	84228/84228	---MCZ	200	added ('OK')	text/css	etag:W/%222319-14904-56328c609ec30%22	http://mattfarley.ca/css/main.css	/home/aditya/websites/aditya/mattfarley.ca/css/main.css	(from http://mattfarley.ca/)
20:48:29	2714/2714	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%229da-a9a-55ad3b93b5550%22	http://mattfarley.ca/images/logomark.svg	/home/aditya/websites/aditya/mattfarley.ca/images/logomark.svg	(from http://mattfarley.ca/)
20:48:30	4064/4064	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202018%2015:18:29%20GMT	http://mattfarley.ca/cdn-cgi/l/email-protection	/home/aditya/websites/aditya/mattfarley.ca/cdn-cgi/l/email-protection.html	(from http://mattfarley.ca/)
20:48:33	3477/3477	---M--	200	added ('OK')	image/jpeg	etag:%22231b-d95-53554a1f0ef80%22	http://mattfarley.ca/images/avatar-glen.jpg	/home/aditya/websites/aditya/mattfarley.ca/images/avatar-glen.jpg	(from http://mattfarley.ca/)
20:48:35	4070/4070	---M--	200	added ('OK')	image/jpeg	etag:%22231d-fe6-53554a20031c0%22	http://mattfarley.ca/images/avatar-sean.jpg	/home/aditya/websites/aditya/mattfarley.ca/images/avatar-sean.jpg	(from http://mattfarley.ca/)
20:48:37	111730/111730	---M--	200	added ('OK')	image/png	etag:%22233e-1b472-53554a23d3ac0%22	http://mattfarley.ca/images/project-showcase-glc.png	/home/aditya/websites/aditya/mattfarley.ca/images/project-showcase-glc.png	(from http://mattfarley.ca/)
20:48:52	90330/90330	---M--	200	added ('OK')	image/jpeg	etag:%22915-160da-5533a04bea5c8%22	http://mattfarley.ca/images/basin.jpg	/home/aditya/websites/aditya/mattfarley.ca/images/basin.jpg	(from http://mattfarley.ca/)
20:48:53	85468/85468	---M--	200	added ('OK')	image/jpeg	etag:%22996-14ddc-5533a04c10ef8%22	http://mattfarley.ca/images/houston.jpg	/home/aditya/websites/aditya/mattfarley.ca/images/houston.jpg	(from http://mattfarley.ca/)
20:48:56	159721/159721	---M--	200	added ('OK')	image/png	etag:%222343-26fe9-53554a24c7d00%22	http://mattfarley.ca/images/project-showcase-wedler.png	/home/aditya/websites/aditya/mattfarley.ca/images/project-showcase-wedler.png	(from http://mattfarley.ca/)
20:48:58	34179/34179	---M--	200	added ('OK')	image/jpeg	etag:%222321-8583-53554cdb0e300%22	http://mattfarley.ca/images/designlab.jpg	/home/aditya/websites/aditya/mattfarley.ca/images/designlab.jpg	(from http://mattfarley.ca/)
20:48:59	973/973	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a7add0a-3cd%22	http://mattfarley.ca/cdn-cgi/scripts/d07b1474/cloudflare-static/email-decode.min.js	/home/aditya/websites/aditya/mattfarley.ca/cdn-cgi/scripts/d07b1474/cloudflare-static/email-decode.min.js	(from http://mattfarley.ca/)
20:49:00	11074/11074	---MCZ	200	added ('OK')	application/javascript	etag:W/%222364-2b42-53554a2b74cc0%22	http://mattfarley.ca/js/modernizr.min.js	/home/aditya/websites/aditya/mattfarley.ca/js/modernizr.min.js	(from http://mattfarley.ca/)
20:49:01	175610/175610	---M--	200	added ('OK')	image/jpeg	etag:%229eb-2adfa-5533a04c675c8%22	http://mattfarley.ca/images/ylbuilders.jpg	/home/aditya/websites/aditya/mattfarley.ca/images/ylbuilders.jpg	(from http://mattfarley.ca/)
20:49:07	93621/93621	---MCZ	200	added ('OK')	application/javascript	etag:W/%222357-16db5-53554a298c840%22	http://mattfarley.ca/js/jquery-1.10.2.min.js	/home/aditya/websites/aditya/mattfarley.ca/js/jquery-1.10.2.min.js	(from http://mattfarley.ca/)
20:49:07	96482/96482	---MCZ	200	added ('OK')	application/javascript	etag:W/%22235d-178e2-53554a2a80a80%22	http://mattfarley.ca/js/jquery-1.11.1.min.js	/home/aditya/websites/aditya/mattfarley.ca/js/jquery-1.11.1.min.js	(from http://mattfarley.ca/)
20:49:08	3338/3338	---MCZ	200	added ('OK')	application/javascript	etag:W/%222362-d0a-53554a2a80a80%22	http://mattfarley.ca/js/jquery.easing.1.3.min.js	/home/aditya/websites/aditya/mattfarley.ca/js/jquery.easing.1.3.min.js	(from http://mattfarley.ca/)
20:49:08	398/398	---MCZ	200	added ('OK')	application/javascript	etag:W/%222363-18e-53554a2a80a80%22	http://mattfarley.ca/js/jquery.scrollto.min.js	/home/aditya/websites/aditya/mattfarley.ca/js/jquery.scrollto.min.js	(from http://mattfarley.ca/)
20:49:09	5048/5048	---MCZ	200	added ('OK')	application/javascript	etag:W/%222356-13b8-5581368f37d60%22	http://mattfarley.ca/js/custom.min.js	/home/aditya/websites/aditya/mattfarley.ca/js/custom.min.js	(from http://mattfarley.ca/)
20:49:10	7300/7300	---MCZ	200	added ('OK')	application/javascript	etag:W/%222369-1c84-5581368f78c70%22	http://mattfarley.ca/js/wow.min.js	/home/aditya/websites/aditya/mattfarley.ca/js/wow.min.js	(from http://mattfarley.ca/)
20:49:11	465/465	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Feb%202018%2015:19:11%20GMT	http://mattfarley.ca/images/mf-logo.svg	/home/aditya/websites/aditya/mattfarley.ca/images/mf-logo.svg	(from http://mattfarley.ca/css/main.css)
20:49:12	34309/34309	---MCZ	200	added ('OK')	application/javascript	etag:W/%222365-8605-5581368f5a810%22	http://mattfarley.ca/js/velocity.min.js	/home/aditya/websites/aditya/mattfarley.ca/js/velocity.min.js	(from http://mattfarley.ca/)
20:49:12	113399/113399	---M--	200	added ('OK')	image/jpeg	etag:%222347-1baf7-53554a25bbf40%22	http://mattfarley.ca/images/userforge.jpg	/home/aditya/websites/aditya/mattfarley.ca/images/userforge.jpg	(from http://mattfarley.ca/)
20:49:12	147787/147787	---M--	200	added ('OK')	image/jpeg	etag:%222322-2414b-53554cdc02540%22	http://mattfarley.ca/images/dovetail.jpg	/home/aditya/websites/aditya/mattfarley.ca/images/dovetail.jpg	(from http://mattfarley.ca/)
20:49:14	714/714	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22231e-2ca-53554a20031c0%22	http://mattfarley.ca/images/cd-icon-close.svg	/home/aditya/websites/aditya/mattfarley.ca/images/cd-icon-close.svg	(from http://mattfarley.ca/css/main.css)
20:49:26	330665/330665	---M--	200	added ('OK')	image/jpeg	etag:%222326-50ba9-53554cdcf6780%22	http://mattfarley.ca/images/hero-bg.jpg	/home/aditya/websites/aditya/mattfarley.ca/images/hero-bg.jpg	(from http://mattfarley.ca/css/main.css)
